id	Cancer1	Cancer2	Normal1	Normal2
ENSG00000005187	9936.58699199	5517.13276044	6035.84865639	4236.32500108
ENSG00000005189	685.199406796	374.183396852	1244.64996377	352.406382895
ENSG00000005194	7770.87194248	6825.85032454	3374.46477794	5231.24128147
ENSG00000005206	159194.037334	184239.443853	51195.647099	119180.554617
ENSG00000005238	12271.987052	8147.0461789	17220.6370042	15884.2475557
ENSG00000005243	334.190103171	2129.69414418	366.382738671	119.88402884
ENSG00000005249	410.450067719	1145.30469751	508.949821743	252.391896344
ENSG00000005302	45465.6095389	12272.3993799	28261.5006994	23436.9128124
ENSG00000005339	338324.083035	257028.952096	278793.293141	303944.323427
ENSG00000005379	23080.9830103	14756.4804001	23824.2409022	27716.9898488
ENSG00000005381	375.577020471	236.804855373	106.866643522	61.1851321259
ENSG00000005421	5.9197243378	24.7413145598	9.24640070904	24.237597073
ENSG00000005436	15358.9651888	9576.64862227	7899.41650077	5774.44485723
ENSG00000005448	4206.16296522	2843.37065457	4447.46133901	7731.7326283
ENSG00000005469	8541.77712161	5696.06835993	6580.39628264	3944.11408766
ENSG00000005471	53.4483822329	117.475936407	2495.62011457	52.8921075286
ENSG00000005483	499778.40937	525179.834069	736045.720325	379550.78878
ENSG00000005486	48745.0054593	42960.6766742	29619.9336547	26633.4680995
ENSG00000005513	26.5796498523	305.064862013	1.63569251732	1.22134750074
ENSG00000005700	137689.428969	99223.8005437	48844.6254696	81654.9818331
ENSG00000005801	18241.5961183	14808.0009403	13820.3921351	10748.1594997
ENSG00000005810	488539.016433	314212.157223	764947.422309	374994.93835
ENSG00000005812	36492.8872259	29469.1331734	49508.04986	25510.6279046
ENSG00000005844	73673.9637622	8426.31633824	101791.052372	47005.2368743
ENSG00000005882	14792.3930321	12279.9874425	10616.0637544	13182.9918228
ENSG00000005884	23226.6242953	42141.1944549	25750.636559	32960.6535509
ENSG00000005889	85130.4226667	48951.6660766	44155.6907489	45346.0608543
ENSG00000005893	173324.374987	120899.798543	100961.031076	125919.642521
ENSG00000005961	1611.01465996	1545.39183305	1297.56588147	881.154043328
ENSG00000005981	2992.86799023	3438.53952286	3672.39883575	3605.1531697
ENSG00000006007	65634.3894413	35523.7644323	36006.0732319	49421.206199
ENSG00000006015	39780.0452793	56905.1376374	41664.1896923	60246.5650446
ENSG00000006016	1016.25641351	1031.14417886	995.230432828	622.562692338
ENSG00000006025	11346.1763099	8869.29818456	17458.6818311	10552.7382415
ENSG00000006042	1423.96879097	291.447017675	292.286544434	460.414469529
ENSG00000006047	24.7548751009	60.9747061666	23.7063309464	22.0837943253
ENSG00000006059	1.0	1.0	1.0	1.0
ENSG00000006062	19180.553145	609943.21465	23217.1205202	15235.8269693
ENSG00000006071	2.70542684279	6.03431799117	4.68623507542	11.0989842038
ENSG00000006116	23.5056213032	101.091738303	20.4910775467	75.1558747916
ENSG00000006118	26110.7861419	1615.22254426	925.028918094	6644.28660888
ENSG00000006125	114177.256753	123997.81237	95584.5655787	100835.499855
ENSG00000006128	0.302571053962	0.295562770478	0.292231869114	0.368279724637
ENSG00000006194	33192.2630822	20011.4536329	12053.5856878	20433.1428581
ENSG00000006210	234.581460817	447.506121684	366.045889181	413.848062717
ENSG00000006282	59320.3013796	32146.0611039	25080.0094987	70575.0822667
ENSG00000006283	258.176310293	307.333768061	377.411401652	434.373037584
ENSG00000006327	410.231068303	253.733418501	618.29608414	1753.93181839
ENSG00000006377	16.8583507679	14.8658520838	19.2902938496	14.6391054726
ENSG00000006432	16020.2353364	13955.0626355	19089.1668414	19223.2727162
